ilce,avg_m2_fiyat_tl
Adalar,95000
Arnavutköy,22000
Ataşehir,45000
Avcılar,28000
Bağcılar,25000
Bahçelievler,28000
Bakırköy,55000
Başakşehir,35000
Bayrampaşa,26000
Beşiktaş,95000
Beykoz,55000
Beylikdüzü,30000
Beyoğlu,65000
Büyükçekmece,28000
Çatalca,18000
Çekmeköy,32000
Esenler,22000
Esenyurt,20000
Eyüpsultan,30000
Fatih,50000
Gaziosmanpaşa,24000
Güngören,26000
Kadıköy,72000
Kağıthane,40000
Kartal,38000
Küçükçekmece,28000
Maltepe,42000
Pendik,32000
Sancaktepe,28000
Sarıyer,75000
Silivri,20000
Sultanbeyli,22000
Sultangazi,20000
Şile,25000
Şişli,75000
Tuzla,30000
Ümraniye,38000
Üsküdar,60000
Zeytinburnu,35000
